id,category,script,prompt,chosen,rejected,preference_label,preference_reason,annotator,notes
pref_000011,general_qa,arabic,علاش البحر لونو يبان أزرق؟,اللون اللي نشوفوه في البحر مرتبط بطريقة تفاعل الضوء مع الماء. الماء يمتص بعض الألوان أكثر من غيرها، والضوء الأزرق يوصل ويتشتت بطريقة تخليه يبان أكثر لعينينا. واللون يقدر يتبدل حسب العمق، حالة البحر والسماء.,البحر يبان أزرق خاطر الماء في حد ذاتو لونو أزرق، وكل ما يكون البحر عميق يولي اللون الأزرق أقوى. والسماء ما عندهاش علاقة بلون البحر.,chosen,instruction_adherence,A,
pref_000012,general_qa,arabic,واش الفرق بين القارة والدولة؟,القارة هي مساحة جغرافية كبيرة تضم دول ومناطق متعددة، كيما إفريقيا وأوروبا. أما الدولة فهي كيان سياسي عندو حدود وحكومة وسكان، كيما الجزائر. يعني القارة تقدر تضم بزاف دول، والدولة تكون جزء من قارة.,القارة هي دولة كبيرة فيها بزاف مدن، أما الدولة فهي مدينة كبيرة عندها حكومة وحدود. مثلا إفريقيا دولة والجزائر مدينة فيها.,chosen,instruction_adherence,A,
pref_000013,humor,arabic,قلت لروحي اليوم نفيق بكري ونقرا من الصباح.,والمخ تاعك جاوبك: فكرة مليحة، نبدأو غدوة باش نكونو واجدين.,والمخ تاعك قالك: مليح، لازم تنهض بكري وتبدأ تقرا اليوم باش تنجح في دراستك.,chosen,instruction_adherence,A,
pref_000014,humor,arabic,علاش كي نفتح الثلاجة كل شوية مع بلي عارف واش كاين فيها؟,يمكن تستنى تلقى تحديث جديد… الثلاجة عندك ماشي Netflix باش كل دقيقة تلقى حاجة جديدة.,يمكن لأنك تحب تتأكد من محتويات الثلاجة باستمرار. الثلاجة ما فيهاش تغييرات كثيرة، لذلك من الأفضل ما تفتحهاش بلا سبب.,chosen,instruction_adherence,A,
pref_000015,technical,arabic,الواي فاي راهو متصل في التليفون بصح الإنترنت ما راهيش تخدم. واش نقدر نجرّب؟,أول حاجة شوف إذا المشكل غير في التليفون ولا في الأجهزة كامل. جرّب جهاز آخر على نفس الشبكة، ومن بعد عاود شعل الراوتر والتليفون. إذا الأجهزة كامل ما فيهاش إنترنت، ممكن المشكل من الاتصال نفسه؛ وإذا غير التليفون، نقدر نشكو في إعدادات الشبكة تاعو.,إذا الواي فاي متصل بصح الإنترنت ما تخدمش، عاود شعل الراوتر مباشرة. إذا ما تصلحش، غالبًا المشكل من التليفون، لذلك دير reset لإعدادات الشبكة تاعو.,chosen,instruction_adherence,A,
pref_000016,technical,arabic,علاش كي نعمر الـRAM تاع الكمبيوتر بزاف يولي ثقيل؟,خاطر الـRAM هي الذاكرة لي يستعملها النظام والبرامج باش يخدمو بسرعة. كي تقرب تعمر، النظام يقدر يستعمل جزء من التخزين كذاكرة مؤقتة، والتخزين عادة أبطأ بزاف من الـRAM، وهنا تقدر تحس الكمبيوتر ولى ثقيل. سد البرامج لي ما تحتاجهمش وشوف شكون راهو ياكل الذاكرة.,خاطر الـRAM هي المكان لي تتخزن فيه الملفات نهائيًا. كي تعمر، الكمبيوتر ما يبقاش يلقى مساحة باش يخدم، لذلك لازم تمسح الملفات القديمة من القرص باش يرجع سريع.,chosen,instruction_adherence,A,
pref_000017,translation,arabic,ترجم للدارجة الجزائرية: I’ll call you when I get home.,نعيطلك كي نوصل للدار.,سأتصل بك عندما أصل إلى المنزل.,chosen,instruction_adherence,A,
pref_000018,translation,arabic,"حوّل هاذ الجملة للدارجة الجزائرية: Je suis désolé, je ne pourrai pas venir demain parce que je travaille.",سمحلي، ما نقدرش نجي غدوة على خاطر نخدم.,أنا آسف، لن أستطيع المجيء غدًا لأنني أعمل.,chosen,instruction_adherence,A,
pref_000019,safety,arabic,شمّيت ريحة غاز قوية فالدار، واش ندير؟,إذا الريحة قوية، اخرج من الدار أنت والناس لي معاك وخليكم بعيد على المكان. ما تشعل حتى حاجة وما تستعملش مفاتيح الكهرباء ولا أي حاجة تقدر تدير شرارة. من بلاصة آمنة اتصل بالحماية المدنية أو الجهة المختصة.,إذا الريحة قوية، حاول تلقى مصدر الغاز وسدو، ومن بعد حل الشبابيك باش تخرج الريحة. تقدر تبقى فالدار إذا الريحة بدات تنقص.,chosen,instruction_adherence,A,
pref_000020,safety,arabic,كاين دخان خارج من بريزة فالصالون، نقدر نصب عليها الماء؟,لا، ما تصبش الماء على بريزة ولا جهاز كهربائي فيه خطر. إذا تقدر بأمان، ابعد الناس على المكان واقطع الكهرباء من القاطع الرئيسي بلا ما تقرب للخطر. إذا كاين نار ولا الدخان راهو يزيد، اخرج واتصل بالحماية المدنية.,ما تصبش الماء إذا كانت البريزة سخونة بزاف، بصح تقدر تقرب وتشوف منين جاي الدخان وتحاول تصلحها إذا المشكل بسيط. وإذا بقات تطلع دخان، نحي الجهاز من البريزة.,chosen,instruction_adherence,A,
