id,category,script,prompt,chosen,rejected,preference_label,preference_reason,annotator,notes
pref_000011,algerian_culture,arabic,واش يميز قصور وادي مزاب من ناحية الثقافة والبناء؟,قصور وادي مزاب معروفة بتنظيم عمراني متكيف مع البيئة الصحراوية، وبالعمارة المبنية حول القصور والواحات. المنطقة عندها أيضا تقاليد حرفية واجتماعية مميزة. هذا التراث العمراني والثقافي هو جزء من القيمة الكبيرة لوادي مزاب، ولهذا راهو معروف عالميا ضمن مواقع التراث.,قصور وادي مزاب معروفة غير بالعمارات القديمة، وما عندهاش علاقة خاصة بتنظيم اجتماعي ولا بالبيئة.,chosen,instruction_adherence,A,
pref_000012,algerian_culture,arabic,هل الزرنة غير موسيقى تاع الأعراس؟,الزرنة مرتبطة بزاف بالمناسبات والاحتفالات الشعبية، ومن بينها الأعراس، بصح استعمالها ما كانش محصور في العرس وحدو. هي موسيقى تعتمد على آلات نفخ وإيقاع، وعندها حضور في بعض مناطق الجزائر بتقاليد وأساليب مختلفة. اليوم أكثر ما نسمعوها في المناسبات والفعاليات التراثية.,الزرنة هي موسيقى أعراس بالدرجة الأولى، وما تتستعملش عادة خارج الأعراس.,chosen,instruction_adherence,A,
pref_000013,code_switching,arabic,راني نخدم على مشروع تاع الجامعة، بصح الـdeadline قرب ومازال ما كملتش الجزء الأخير. واش تنصحني ندير؟,قسم الخدمة لي بقات لخطوات صغار، وحدد واش لازم يكمل اليوم وواش يقدر يستنى. ما تضيعش الوقت في التفاصيل الثانوية، ركز على الجزء الضروري باش تلحق الـdeadline.,كمل الجزء الأخير كامل أولاً وخدم حتى التفاصيل الصغيرة، ومن بعد إذا بقى الوقت شوف واش تقدر تحذف.,chosen,instruction_adherence,A,
pref_000014,code_switching,arabic,التليفون تاعي كل مرة يطلعلي مشكل في الـapplication، ومن بعد يخرج وحدو. واش نقدر نجرب؟,أول حاجة دير update للـapplication إذا كاين، ومن بعد عاود شعل التليفون. إذا بقى نفس المشكل، شوف إذا كاين espace كافي ولا جرّب تحذف الـapplication وترجع تثبتها.,حذف الـapplication ورجع ثبتها مباشرة، وإذا بقى المشكل عاود شعل التليفون. غالبا هذي تحل المشكل.,chosen,instruction_adherence,A,
pref_000015,code_switching,arabic,غدوة عندي entretien على stage، وراسي راهو شوية مخلوط. كيفاش نوجد روحي؟,راجع مليح واش يدير الفريق ولا المؤسسة، وحضر تعريف قصير على روحك وعلى المشاريع لي خدمت عليهم. وزيد حضر إجابات على أسئلة بسيطة كيما علاش حاب الـstage وواش تقدر تضيف للفريق.,راجع المؤسسة وحضر تعريف على روحك، وحاول تحفظ أجوبة جاهزة لكل الأسئلة اللي ممكن يطرحوها عليك.,chosen,instruction_adherence,A,
pref_000016,code_switching,arabic,الـWi-Fi راهو يخدم مليح في الهاتف بصح في الـordinateur بطيء بزاف، واش ممكن يكون السبب؟,ممكن المشكل يكون من الـordinateur نفسه ولا من الـWi-Fi adapter، ماشي بالضرورة من الشبكة. جرّب نفس الشبكة في جهاز آخر، وإذا غير الـordinateur لي بطيء شوف الـdriver والبرامج لي راهي تستعمل الانترنت.,المشكل غالبا من الـWi-Fi نفسه، خاصة إذا راهو بطيء. عاود شعل الراوتر وجرب من بعد.,chosen,instruction_adherence,A,
pref_000017,code_switching,arabic,رحت للإدارة على جال dossier، قالولي لازم نزيد وثيقة ما كانتش مذكورة في الموقع. واش ندير؟,إذا تقدر، اكتب اسم الوثيقة بالضبط واسقسيهم علاش مطلوبة ووين تقدر تجيبها. وخلي عندك نسخة من الـdossier والمعلومات لي كانت منشورة في الموقع باش ما تعاودش نفس المشوار بلا فايدة.,زيد الوثيقة وخلاص، خاطر الإدارة أكيد عندها الحق تطلبها حتى إذا ما كانتش مذكورة في الموقع.,chosen,instruction_adherence,A,
pref_000018,code_switching,arabic,البياع قالي livraison مجانية بصح كي جيت نأكد commande زادلي مصاريف. كيفاش نسقسيه بلا ما ندير مشكل؟,قولّو بهدوء: «قلتلي livraison gratuite، بصح في الـcommande بانلي مبلغ زيادة، تقدر توضّحلي علاش؟». هكذا تخليه يفسر قبل ما تخلص.,قولّو بلي قالك livraison gratuite واسقسيه علاش زاد المصاريف، وإذا ما حبش ينحيهم ما تكملش الـcommande.,chosen,instruction_adherence,A,
pref_000019,code_switching,arabic,صحابي كامل راهوم في social media، بصح أنا ما نحبش نحط كل تفاصيل حياتي. هذا عادي؟,عادي بزاف. تقدر تستعمل social media غير للحوايج لي تحب تشاركهم، وماشي لازم تحط حياتك الخاصة كاملة. المهم تكون مرتاح مع واش تنشر ومع الناس لي يقدرو يشوفوه.,إيه عادي، بصح إذا صحابك كامل في social media حاول حتى أنت تشارك شوية باش ما تبقاش خارج الجو.,chosen,instruction_adherence,A,
pref_000020,code_switching,arabic,في اللعبة الـupdate الجديد خلى الـperformance تهبط عندي. نرجع للنسخة القديمة ولا نستنى؟,إذا المشكل بدا مباشرة بعد الـupdate، شوف أولاً إذا اللاعبين الآخرين عندهم نفس المشكل ولا كاين patch جديد. إذا ما كاينش حل واضح، الانتظار شوية ممكن يكون أحسن من تبديل النسخة بلا ما تعرف السبب.,إذا الـupdate هبط الـperformance، الأفضل ترجع مباشرة للنسخة القديمة لأنها كانت تخدم مليح قبل.,chosen,instruction_adherence,A,
pref_000021,code_switching,arabic,الأستاذ عطانا feedback على الـprojet وقال بلي الفكرة مليحة بصح الـméthodologie ناقصة. واش يقصد غالبا؟,غالباً يقصد بلي الفكرة والهدف واضحين، بصح ما شرحتوش كفاية كيفاش راكم راح تخدمو عليها: البيانات، الطريقة، الخطوات، وكيفاش راح تقيسو النتيجة. يعني لازم تقوّيو الجزء لي يشرح طريقة العمل.,يقصد غالبا بلي لازمكم تزيدو شرح أكثر على الفكرة والنتائج، لأن الـméthodologie هي الجزء اللي يبين واش هي الفكرة.,chosen,instruction_adherence,A,
pref_000022,code_switching,arabic,حاب نبعث candidature لخدمة، بصح الـCV تاعي بالفرنسية. نقدر نبعثو هكذا ولا نترجمو؟,شوف لغة إعلان الخدمة أولاً. إذا الإعلان والجهة يستعملو الإنجليزية، الأفضل يكون الـCV بالإنجليزية؛ وإذا كل التواصل بالفرنسية، النسخة الفرنسية مناسبة. المهم ما تترجمش الـCV حرفياً وتخلي المصطلحات المهنية طبيعية.,إذا الـCV بالفرنسية تقدر تبعثو عادي، وما تحتاجش تبدلو حتى إذا إعلان الخدمة بالإنجليزية.,chosen,instruction_adherence,A,
pref_000023,code_switching,arabic,راني نستنى في réponse تاع واحد بعثتلو message على الخدمة، بصح ما جاوبنيش من نهار الاثنين. نعاود نبعثلو؟,إيه، تقدر تدير follow-up قصير ومحترم، خاصة إذا دازو عدة أيام. ذكّرو بالـmessage الأول وقولّو غير بلي حبيت تعرف إذا قدر يشوفه، بلا ما تضغط عليه.,إيه عاود ابعثلو message اليوم وقولو بلي ما جاوبكش، باش يعرف بلي راك تستنى فيه.,chosen,instruction_adherence,A,
pref_000024,code_switching,arabic,في الـmeeting فهمت نص الكلام برك، خاصة كي بداو يهضرو بالإنجليزية. كيفاش نطلب منهم يعاودو يشرحولي بلا ما نبان ما فهمت والو؟,تقدر تقول عادي: «سمحولي، نحب نتأكد بلي فهمت النقطة هذي مليح، تقدروا توضحوها مرة أخرى؟». ما فيها حتى مشكل، وبالعكس خير ما تخرج من الـmeeting وانت فاهم حاجة غالطة.,قولهم غير بلي ما فهمتش، واطلب منهم يعاودو الاجتماع كامل بالإنجليزية باش تكون فاهم كلش.,chosen,instruction_adherence,A,
pref_000025,commerce,arabic,لقيت زوج عروض على نفس النوع تاع القهوة: وحدة بـ 480 دج للكيلو، ووحدة بـ 430 دج بصح لازم نشري زوج كيلو. واش الفرق بيناتهم؟,إذا العرض الثاني راهو 430 دج للكيلو، زوج كيلو يجو بـ860 دج، يعني الكيلو أرخص بـ50 دج من العرض الأول. بصح إذا ما تحتاجش زوج كيلو، العرض الأول يخلّيك تشري غير الكمية لي تحتاجها.,العرض الأول يخرج أرخص لأنك تخلص 480 دج فقط، أما الثاني لازم تخلص 860 دج كامل.,chosen,instruction_adherence,A,
pref_000026,commerce,arabic,إذا السلعة بـ 3500 دج وزيد عليها 400 دج توصيل، شحال نخلص كامل؟,تخلص 3900 دج كامل: 3500 دج تاع السلعة + 400 دج تاع التوصيل.,تخلص 3500 دج، لأن 400 دج تاع التوصيل ما تدخلش في ثمن السلعة.,chosen,instruction_adherence,A,
pref_000027,commerce,arabic,هذاك الـ20% discount راهو مليح ولا غير marketing؟ السعر قبل التخفيض 5000 دج.,20% من 5000 دج هي 1000 دج، يعني السعر بعد التخفيض يولي 4000 دج. واش راهو مليح ولا لا يتوقف على السعر العادي لنفس المنتج عند البياعة الآخرين؛ النسبة وحدها ما تكفيش باش نحكمو.,20% من 5000 دج هي 1000 دج، يعني السعر بعد التخفيض 4000 دج، وبالتالي العرض مليح.,chosen,instruction_adherence,A,
pref_000028,commerce,arabic,حاب نشري تلفاز مستعمل من واحد، واش لازم نسقسيه ونشوف قبل ما نخلص؟,سقسيه على العمر تاع التلفاز، واش كان فيه عطب قبل، وعلاش راهو يبيعو. جرّبو قدامك وشوف الصورة، الصوت، المداخل والريموت، وإذا عندو فاتورة ولا ضمان قديم خليه يمدهملك. والأهم ما تخلصش قبل ما تتأكد بلي الحالة توافق واش قالك عليها.,سقسيه على العمر والسبب اللي خلاه يبيع التلفاز، وجرب الصورة والصوت قبل ما تخلص.,chosen,instruction_adherence,A,
pref_000029,commerce,arabic,البياع قالي السلعة أصلية بصح العلبة ما فيهاش معلومات واضحة وما حبش يمدلي فاتورة. نشريها؟,أنا ما نستعجلش في هاذ الحالة. غياب المعلومات والفاتورة ما يثبتش وحدو بلي السلعة مقلدة، بصح يزيد الشك. سقسيه على مصدرها، الضمان، ورقم الموديل ولا السيريال إذا كاين، وقارن التفاصيل مع معلومات الشركة المصنعة. إذا بقى يتهرب، الأحسن ما تخاطرش.,إذا قالك أصلية خلاص صدقو، وما تحتاجش فاتورة إذا السعر مناسب.,chosen,instruction_adherence,A,
pref_000030,commerce,arabic,شريت حذاء من محل وكي روحت للدار لقيتو يضيق عليا. نقدر نبدلو؟,هذا يعتمد على سياسة المحل وشروط البيع. شوف واش مكتوب في الفاتورة ولا اسقسي البياع إذا يقبلو échange، خصوصا إذا الحذاء ما تستعملش وباقي بحالتو. ما نقدرش نقولك بلي كل المحلات عندها نفس السياسة.,إذا السعر ناقص بزاف، استغل الفرصة وخلص اليوم قبل ما يروح العرض. حاول غير تتأكد بلي الساعة تخدم.,chosen,instruction_adherence,A,
pref_000031,commerce,arabic,عندي 6000 دج، وحاب نشري حاجة بـ5200 دج والتوصيل 600 دج. يبقى لي شحال؟,المجموع يولي 5800 دج، يعني يبقى لك 200 دج من الـ6000 دج.,5200 + 600 = 5700، يعني يبقى لك 300 دج.,chosen,instruction_adherence,A,
pref_000032,commerce,arabic,البياع راهو طالب 7000 دج على طابلة مستعملة، وأنا نشوف فيها شوية خدوش. كيفاش نفاوضو بلا ما نظلمو؟,قولّو بهدوء بلي شفت الخدوش وبلي السعر بالنسبة للحالة يبانلك طالع شوية، ومن بعد قدم عرض معقول مبني على الحالة، ماشي غير تنقص السعر وخلاص. وإذا ما اتفقتوش، تقدر تخليه وتقلّب على عرض آخر.,قولّو الخدوش تنقص من قيمة الطابلة واطلب منه يهبط السعر للنص، وإذا رفض خليه.,chosen,instruction_adherence,A,
pref_000033,commerce,arabic,لقيت pack فيه 6 قراعي بـ720 دج، ونفس القارورة وحدها بـ130 دج. واش الأرخص؟,في الـpack، القارورة الواحدة تخرج بـ120 دج، خاطر 720 ÷ 6 = 120. يعني الـpack أوفر بـ10 دج في القارورة مقارنة بالسعر الفردي 130 دج.,القارورة وحدها أرخص لأنها 130 دج، بينما الـpack بـ720 دج.,chosen,instruction_adherence,A,
pref_000034,commerce,arabic,طلبت حاجة من عند بائع أونلاين وقالّي التوصيل متوفر غير لبعض الولايات. نقدر نسقسيه قبل ما نأكد الطلب؟,أكيد، والأحسن تسقسيه قبل ما تأكد. قولّو الولاية لي راك فيها، واسقسيه على توفر التوصيل، السعر، والمدة التقريبية، وزيد تأكد واش الدفع عند الاستلام متوفر ولا لا إذا كان هذا مهم بالنسبة لك.,إيه، أكد الطلب ومن بعد اسقسيه على التوصيل إذا لقيت مشكل.,chosen,instruction_adherence,A,
pref_000035,commerce,arabic,واش أحسن: منتوج بـ9000 دج عندو ضمان، ولا نفس النوع بـ7500 دج بلا ضمان؟,ما نقدرش نقول بلي الأغلى أحسن مباشرة. الفرق 1500 دج، فإذا الضمان يغطي أعطال مهمة والمنتوج حساس أو غالي التصليح، ممكن يكون فرق السعر منطقي. أما إذا المنتج بسيط والنسخة الأرخص حالتها مضمونة، ممكن 7500 دج تكون كافية. شوف بالضبط واش يغطي الضمان ومدة صلاحيته قبل القرار.,الـ9000 دج أحسن مباشرة لأنو فيه ضمان، حتى لو الضمان ما يغطيش كامل الأعطال.,chosen,instruction_adherence,A,
pref_000036,commerce,arabic,واحد في marketplace راهو عارض ساعة بسعر ناقص بزاف على السعر لي نشوفو عادة، وراه يضغط عليا باش نخلص اليوم. واش ندير؟,ما تستعجلش غير على خاطر راهو يقول العرض غير اليوم. حاول تتأكد من حالة الساعة، مصدرها، الصور والمعلومات، واسقسي على الفاتورة والضمان إذا كاين. وإذا طلب منك طريقة دفع غير واضحة أو رفض يعطيك معلومات أساسية، الأحسن توقف حتى تتأكد.,بما أن السعر منخفض بزاف، خلص اليوم إذا البائع عطاك صور واضحة، وبعدها تقدر تتأكد من باقي التفاصيل.,chosen,instruction_adherence,A,
pref_000037,daily_life,arabic,غدوة عندي نهار معمر، كيفاش نرتب وقتي باش ما نضيعش؟,قبل ما ترقد، كتب كامل الحوايج اللي لازم تديرهم ورتبهم حسب الأولوية. الصباح خليه للحوايج اللي يحتاجو تركيز، والمشاوير ديرهم في نفس الجهة إذا قدرت. وخلي شوية وقت احتياط بين كل حاجة وحاجة باش أي تأخير ما يقلبلكش البرنامج كامل.,كتب كامل الحوايج ورتبهم، ومن بعد بدا بالحاجة الأولى وكمل وحدة بوحدة.,chosen,instruction_adherence,A,
pref_000038,daily_life,arabic,راني نقرا فالدار بصح كل شوية نلقى روحي نحل التليفون، واش ندير؟,حط التليفون بعيد عليك ولا ديرلو mode avion وقت القراية. جرب تقرا 40 ولا 50 دقيقة ومن بعد دير pause قصيرة. وإذا تحتاج التليفون للقراية، سد notifications تاع التطبيقات اللي ما عندهاش علاقة بالدرس.,خلي التليفون حدّاك وحاول تقاوم الرغبة باش تفتحو، وركز على القراية حتى تكمل.,chosen,instruction_adherence,A,
pref_000039,daily_life,arabic,عندي بطاطا وبيض وبرك فالدار، نقدر ندير بيهم حاجة سريعة؟,إيه، تقدر تدير omelette بالبطاطا. قطع البطاطا صغار وقليها في شوية زيت حتى تطرى وتتحمر شوية. من بعد اخفق البيض، زيد الملح والتوابل اللي عندك، وصبّو فوق البطاطا وخليه يطيب على نار هادئة حتى يشد البيض. إذا عندك بصل ولا جبن تقدر تزيدهم، بصح ماشي ضروري.,إيه، دير بطاطا مع بيض: طيب البطاطا ومن بعد زيد البيض فوقها وخلاص.,chosen,instruction_adherence,A,
pref_000040,daily_life,arabic,إذا كان عندي rendez-vous على 10، شحال من بكري لازم نخرج؟,يعتمد على الطريق ووسيلة النقل. إذا الطريق عادة ياخذ 30 دقيقة، حاول تخرج حوالي 9:15 ولا 9:20 باش يكون عندك وقت احتياط للتأخير. وإذا الموعد مهم بزاف، الأحسن توصل قبل بـ10 إلى 15 دقيقة.,إذا الموعد على 10، اخرج قبل بساعة باش تكون مرتاح وما تتأخرش.,chosen,instruction_adherence,A,
pref_000041,daily_life,arabic,الباص فاتني وأنا لازم نوصل بكري، واش ندير؟,شوف مباشرة واش كاين transport آخر لنفس الجهة: bus آخر، tramway إذا متوفر، ولا taxi حسب المسافة والوقت. وإذا كنت رايح لموعد مهم، عيط للشخص وقولو بلي راك متأخر شوية بدل ما تخليه يستناك بلا خبر.,استنى الباص اللي بعدو، وإذا تأخر عليك استعمل taxi.,chosen,instruction_adherence,A,
pref_000042,daily_life,arabic,راني خارج نشري، كيفاش ما ننساش الحوايج اللي نحتاجهم؟,دير liste قبل ما تخرج، وقسمها مثلا: خضرة، مواد غذائية، نظافة، وحوايج أخرى. كي تحط حاجة في panier علّم عليها مباشرة. وإذا عندك budget محدد، كتب حتى الكمية والسعر التقريبي باش ما تفوتش المبلغ اللي حاسب عليه.,كتب الحوايج في ورقة وخذها معاك، ومن بعد شوف واش شريت قبل ما تخرج.,chosen,instruction_adherence,A,
pref_000043,daily_life,arabic,صحبي راهو يستناني وأنا ما نقدرش نروح اليوم، كيفاش نقولو بلا ما نجرحو؟,قولّو بصراحة وبطريقة بسيطة: «سمحلي خويا، اليوم ما نقدرش نجي، طرالي شغل وما نيش قادر نلحق. نعاودوها نهار آخر إن شاء الله». هكذا تكون واضح وما تخليهش يستنى بلا ما يعرف.,قولّو ما نقدرش نجي اليوم، وخلاص. أكيد راح يفهم.,chosen,instruction_adherence,A,
pref_000044,daily_life,arabic,نسيت وين حطيت مفاتيح الدار، كاش طريقة باش نلقاهم بسرعة؟,ما تقلبش عشوائيا. رجع بذاكرتك لآخر لحظة استعملت فيها المفاتيح، ومن بعد عاود نفس المسار: الباب، الجيوب، sac، الطاولة ولا المكان اللي عادة تحطهم فيه. شوف حتى الأماكن غير المعتادة كيما فوق الثلاجة ولا جنب الشاحن إذا كنت كنت مشغول.,قلب في الجيوب والطاولة والأماكن اللي تحط فيهم المفاتيح عادة، ومن بعد شوف باقي الدار.,chosen,instruction_adherence,A,
pref_000045,daily_life,arabic,نحب ننظم نهاري بين القراية، الراحة وشوية sport.,دير برنامج بسيط وما تعمروش بزاف. مثلا الصباح خصص وقت للقراية المركزة، من بعد pause وغدا، وبعدها session ثانية. خلي 30 إلى 60 دقيقة للرياضة حسب وقتك، وفي الليل دير مراجعة خفيفة ولا حضّر لنهار الغد. المهم البرنامج يكون واقعي وتقدر تلتزم بيه.,قسم النهار بين القراية والراحة والرياضة، وخلي كل نشاط عندو وقت محدد.,chosen,instruction_adherence,A,
pref_000046,daily_life,arabic,الماكلة اللي طيبتها بقات من البارح، كيفاش نسخنها بلا ما تنشف؟,إذا كانت في الثلاجة ومحفوظة مليح، سخنها على نار هادئة وزيدلها شوية ماء ولا صوص حسب نوع الماكلة، وغطّيها باش ما تفقدش الرطوبة. في الميكروويف، غطّيها وخدم التسخين على مراحل قصيرة وحرّكها بيناتهم.,سخن الماكلة على نار قوية باش تسخن بسرعة، ومن بعد كلّها مباشرة.,chosen,instruction_adherence,A,
pref_000047,daily_life,arabic,عندي بزاف rendez-vous هاذ السيمانة ونخاف نخلط بينهم.,حطهم كامل في calendrier واحد، وكل موعد كتب فيه الساعة، المكان، ووقت الطريق إذا كان مهم. دير reminder قبل الموعد بيوم، وإذا كان موعد قريب دير واحد آخر قبلها بساعة. هكذا ما تعتمدش غير على الذاكرة.,كتب المواعيد كامل في الهاتف وديرلهم alarm باش ما تنساهمش.,chosen,instruction_adherence,A,
pref_000048,daily_life,arabic,اليوم حاب ندير ménage فالدار بصح ما نعرفش منين نبدا.,بدا بالحوايج اللي يبان أثرهم بسرعة: لمّ الفوضى وحط كل حاجة في بلاصتها، من بعد نظف الغبرة، وبعدها الأرضية. ما تحاولش تنظف الدار كامل في نفس الوقت؛ قسمها غرف ولا مهام، وخدم وحدة بوحدة.,بدا بالمطبخ، ومن بعد نظف الغرف والأرضية حتى تكمل الدار كامل.,chosen,instruction_adherence,A,
pref_000049,education,arabic,تقدر تشرحلي كيفاش نحسبو مساحة المثلث؟,إيه. مساحة المثلث نحسبوها بالقانون: المساحة = (القاعدة × الارتفاع) ÷ 2. مثلا إذا القاعدة 8 سم والارتفاع 5 سم، المساحة تكون (8 × 5) ÷ 2 = 20 سم²,مساحة المثلث = القاعدة × الارتفاع. إذا القاعدة 8 والارتفاع 5، المساحة 40 سم².,chosen,instruction_adherence,A,
pref_000050,education,arabic,وش معناها moyenne فالإحصاء وكيفاش نحسبوها؟,الـmoyenne هي القيمة اللي تمثل المستوى العام تاع مجموعة أرقام. نحسبوها بجمع كامل القيم ومن بعد نقسمو المجموع على عدد القيم. مثلا عندك 10، 12 و14: المجموع 36، وعدد القيم 3، يعني moyenne = 36 ÷ 3 = 12,الـmoyenne نحسبوها بجمع القيم ومن بعد نقسمو على عددهم. في المثال 10 و12 و14، النتيجة 14.,chosen,instruction_adherence,A,
pref_000051,education,arabic,علاش كي نزيدو السرعة تاع الجسم تزيد الطاقة الحركية تاعو؟,خاطر الطاقة الحركية مرتبطة بالسرعة تربيع. القانون هو Ec = 1/2 mv²، وين m هي الكتلة وv هي السرعة. يعني إذا ضاعفنا السرعة، الطاقة الحركية تولي أربع مرات أكبر، بشرط الكتلة تبقى نفسها,الطاقة الحركية تزيد مع السرعة، والقانون هو Ec = 1/2 mv. يعني إذا ضاعفنا السرعة تتضاعف الطاقة الحركية.,chosen,instruction_adherence,A,
pref_000052,education,arabic,أنا نخلط بين variance و écart-type، واش الفرق بيناتهم؟,الـvariance والـécart-type بجوج يقيسو شحال القيم متشتتة حول الـmoyenne. الفرق هو أن الـvariance تكون بوحدة مربعة، بينما الـécart-type يكون بنفس وحدة البيانات. رياضيا، écart-type هو الجذر التربيعي للـvariance: σ = √Var(X),الـvariance والـécart-type يقيسو نفس الحاجة تقريبًا، غير الـécart-type يكون أكبر من الـvariance عادة.,chosen,instruction_adherence,A,
